				Count		Mean		Median			Mode		Max			Min			STD
4,20190118/	     2          30.0          30.0     	[30]		     30          30          0.0     
4,20190127/	     1          28.0          28.0     	[28]		     28          28          0.0     
4,20190128/	     1          25.0          25.0     	[25]		     25          25          0.0     
4,20190129/	     2          26.0          26.0     	[26]		     26          26          0.0     
4,20190130/	     2          24.0          24.0     	[24]		     24          24          0.0     
4,20190123/	     2          27.0          27.0     	[27]		     27          27          0.0     
4,20190124/	     2          28.0          28.0     	[28]		     28          28          0.0     
4,20190125/	     2          28.0          28.0     	[28]		     28          28          0.0     
4,20190126/	     5          23.0          22.0     	[22]		     28          21          2.5768197453450252     
4,20190103/	     2          29.0          29.0     	[29]		     29          29          0.0     
4,20190104/	     2          26.0          26.0     	[26]		     26          26          0.0     
4,20190105/	     2          23.0          23.0     	[23]		     23          23          0.0     
4,20190106/	     2          21.0          21.0     	[21]		     21          21          0.0     
3,20190130/	     1          23.0          23.0     	[23]		     23          23          0.0     
3,20190131/	     2          25.0          25.0     	[25]		     25          25          0.0     
4,20190101/	     2          22.0          22.0     	[22]		     22          22          0.0     
4,20190102/	     2          27.0          27.0     	[27]		     27          27          0.0     
4,20190111/	     2          23.0          23.0     	[23]		     23          23          0.0     
4,20190112/	     2          29.0          29.0     	[29]		     29          29          0.0     
4,20190113/	     2          26.0          26.0     	[26]		     26          26          0.0     
4,20190114/	     2          26.0          26.0     	[26]		     26          26          0.0     
4,20190107/	     2          23.0          23.0     	[23]		     23          23          0.0     
4,20190108/	     2          23.0          23.0     	[23]		     23          23          0.0     
4,20190109/	     2          27.0          27.0     	[27]		     27          27          0.0     
4,20190110/	     2          26.0          26.0     	[26]		     26          26          0.0     
3,20190118/	     2          21.0          21.0     	[21]		     21          21          0.0     
3,20190119/	     2          25.0          25.0     	[25]		     25          25          0.0     
3,20190120/	     2          24.0          24.0     	[24]		     24          24          0.0     
3,20190121/	     2          25.0          25.0     	[25]		     25          25          0.0     
3,20190114/	     2          24.0          24.0     	[24]		     24          24          0.0     
3,20190115/	     2          30.0          30.0     	[30]		     30          30          0.0     
3,20190116/	     2          29.0          29.0     	[29]		     29          29          0.0     
3,20190117/	     2          20.0          20.0     	[20]		     20          20          0.0     
3,20190126/	     3          22.0          22.0     	[22]		     23          22          0.4714045207910317     
3,20190127/	     2          29.0          29.0     	[29]		     29          29          0.0     
3,20190128/	     1          29.0          29.0     	[29]		     29          29          0.0     
3,20190129/	     5          27.0          26.0     	[26]		     30          26          1.7435595774162693     
3,20190122/	     2          28.0          28.0     	[28]		     28          28          0.0     
3,20190123/	     2          26.0          26.0     	[26]		     26          26          0.0     
3,20190124/	     2          21.0          21.0     	[21]		     21          21          0.0     
3,20190125/	     1          30.0          30.0     	[30]		     30          30          0.0     
